"EA-Type"	"EA-Package"	"EA-Name"	"EA-GUID"	"EA-Parent"	"EA-Domain"	"EA-Domain-GUID"	"EA-Range"	"ap-label-nl"	"ap-definition-nl"	"ap-usageNote-nl"	"ap-codelist"	"external term"	"namespace"	"localname"	"type"	"domain"	"range"	"parent"	"min card"	"max card"
"connector"	""	"heeftIndiener"	"{129DF796-0A80-47c5-A998-A035F7A6EC02}"	""	"Dossier"	"{1D960FC8-C935-4413-B9A0-21EC5653D012}"	"Agent"	"heeft indiener"	"Duidt aan dat een dossier een agent als indiener heeft."	""	""	"false"	"https://data.vlaanderen.be/ns/besluitvorming#"	"heeftIndiener"	"http://www.w3.org/2002/07/owl#ObjectProperty"	"http://dbpedia.org/ontology/Case"	"http://purl.org/dc/terms/Agent"	""	"1"	"1"
"connector"	""	"bevat"	"{17223423-043B-4c6c-8191-8B8A31F3628C}"	""	"Agenda"	"{F1FB7F14-2730-47bf-8D26-B6671A6FC8AD}"	"Agendapunt"	"bevat"	"Duidt aan dat een agenda uit meerdere agendapunten kan bestaan."	""	""	"true"	"http://purl.org/dc/terms/"	"hasPart"	"http://www.w3.org/2002/07/owl#ObjectProperty"	"https://data.vlaanderen.be/ns/besluitvorming#Agenda"	"http://data.vlaanderen.be/ns/besluit#Agendapunt"	""	"0"	"*"
"connector"	""	"geeftAanleidingTot"	"{6CD807B4-E577-4c35-80D6-3B7EA73FE147}"	""	"Beslissing"	"{7E507387-B954-4522-A77C-61DB8BA1D9F2}"	"NieuwsbriefInfo"	"geeft aanleiding tot"	"Duidt aan dat een nieuwsbriefinfo als gevolg van een besluit aangemaakt kan worden."	""	""	"true"	"http://www.w3.org/ns/prov#"	"generated"	"http://www.w3.org/2002/07/owl#ObjectProperty"	"http://data.vlaanderen.be/ns/besluit#Besluit"	"https://data.vlaanderen.be/ns/besluitvorming#NieuwsbriefInfo"	""	"0"	"1"
"connector"	""	"leidtTot"	"{07E4CB0D-7073-4a44-9A01-966DF9D54C03}"	""	"Consultatievraag"	"{102CF7FF-8C8F-4dac-ADF1-F54737AFB132}"	"Consultatie-antwoord"	"leidt tot"	"Duidt aan dat een consultatie-antwoord als gevolg van een consultatievraag ontvangen kan worden."	""	""	"true"	"http://www.w3.org/ns/prov#"	"generated"	"http://www.w3.org/2002/07/owl#ObjectProperty"	"https://data.vlaanderen.be/ns/besluitvorming#Consultatievraag"	"https://data.vlaanderen.be/ns/besluitvorming#Consultatie-antwoord"	""	"0"	"1"
"connector"	""	"geeftAanleidingTot"	"{DBCEC3AC-2464-4051-9A5A-49B8ADC43923}"	""	"Agendapunt"	"{757FD45B-A8DA-42b4-9A1E-E0AD8CBE1527}"	"Beslissing"	"geeft aanleiding tot"	"Duidt aan dat een besluit als gevolg van een agendapunt aangemaakt kan worden."	""	""	"true"	"http://www.w3.org/ns/prov#"	"generated"	"http://www.w3.org/2002/07/owl#ObjectProperty"	"http://data.vlaanderen.be/ns/besluit#Agendapunt"	"http://data.vlaanderen.be/ns/besluit#Besluit"	""	"0"	"1"
"connector"	""	"geeftAanleidingTot"	"{32A2481B-7BEA-430c-B242-A5F1E470B608}"	""	"Procedurestap"	"{985B3F3D-1940-46b6-8F72-E20F6C282D03}"	"Beslissing"	"geeft aanleiding tot"	"Duidt aan dat een besluit als gevolg van een dossier in een welbepaalde procedurestap aangemaakt kan worden."	""	""	"true"	"http://www.w3.org/ns/prov#"	"generated"	"http://www.w3.org/2002/07/owl#ObjectProperty"	"http://dbpedia.org/ontology/UnitOfWork"	"http://data.vlaanderen.be/ns/besluit#Besluit"	""	"0"	"1"
"connector"	""	"heeftBevoegde"	"{0F1AB017-97A7-4310-9058-0EA553E9D92E}"	""	"Dossier"	"{1D960FC8-C935-4413-B9A0-21EC5653D012}"	"Agent"	"heeft bevoegde"	"Duidt aan dat een dossier één of meer agenten als bevoegde heeft."	""	""	"false"	"https://data.vlaanderen.be/ns/besluitvorming#"	"heeftBevoegde"	"http://www.w3.org/2002/07/owl#ObjectProperty"	"http://www.w3.org/2000/01/rdf-schema#Resource"	"http://purl.org/dc/terms/Agent"	""	"1"	"*"
"connector"	""	"isGesteldAan"	"{D5A24036-9A83-45c3-ABB5-C41DAD03DCBF}"	""	"Consultatievraag"	"{102CF7FF-8C8F-4dac-ADF1-F54737AFB132}"	"Agent"	"is gesteld aan"	"Duidt aan dat een consultatievraag aan een agent gesteld wordt."	""	""	"false"	"https://data.vlaanderen.be/ns/besluitvorming#"	"isGesteldAan"	"http://www.w3.org/2002/07/owl#ObjectProperty"	"https://data.vlaanderen.be/ns/besluitvorming#Consultatievraag"	"http://purl.org/dc/terms/Agent"	""	"1"	"1"
"connector"	""	"isAangebrachtNa"	"{F148B058-F9A8-40f2-96AC-D83D3A449694}"	""	"Agendapunt"	"{757FD45B-A8DA-42b4-9A1E-E0AD8CBE1527}"	"Agendapunt"	"is aangebracht na"	"Duidt aan dat een agendapunt na een ander agendapunt is aangebracht op een zitting."	""	""	"true"	"http://data.vlaanderen.be/ns/besluit#"	"aangebrachtNa"	"http://www.w3.org/2002/07/owl#ObjectProperty"	"http://data.vlaanderen.be/ns/besluit#Agendapunt"	"http://data.vlaanderen.be/ns/besluit#Agendapunt"	""	"0"	"1"
"connector"	""	"vereist"	"{66D1C5F7-5EAD-4021-8F03-BE8E39497079}"	""	"Documentversie"	"{2AB4C311-20AA-43aa-8958-C8CC3F529995}"	"Vertalingsaanvraag"	"vereist"	"Duidt aan dat een documentversie een vertalingsaanvraag vereist."	""	""	"true"	"http://purl.org/dc/terms/"	"requires"	"http://www.w3.org/2002/07/owl#ObjectProperty"	"https://data.vlaanderen.be/ns/besluitvorming#Documentversie"	"https://data.vlaanderen.be/ns/besluitvorming#Vertalingsaanvraag"	""	"0"	"*"
